prenom,nom,titre_livre,nbpages,isbn,publisher_name
Andrew,Clements,The Last Holiday Concert,176,0-689-84516-2,Simon & Schuster
Andrew,Clements,No Talking,166,978-1-4169-0983-5,Simon & Schuster
Harlan,Coben,Just One Look (novel),370,0-525-94791-4,Dutton Penguin
George,Cockroft,Adventures of Wim,320,ISBN 0-246-12769-4 (hardback edition) (orig UK) & ISBN 1-4033-4799-9 (hardback edition) (USA revised),Grafton (publisher)
George,Cockroft,The Dice Man,500,ISBN 0-00-716121-2 (2003 paperback edition),William Morrow (publisher)
George,Cockroft,The Search for the Dice Man,450,ISBN 0-00-223937-X (hardback edition) & ISBN 0-586-21515-8 (paperback edition),HarperCollins
Joshua,Cohen,Book of Numbers (novel),592,978-0-8129-9691-3,Random House
Joshua,Cohen,Witz (novel),824,ISBN 978-1-56478-588-6,Dalkey Archive Press
Stuart Archer,Cohen,The Army of the Republic,432,978-0-312-38377-0,St. Martin's Press
Juan,Cole,Engaging the Muslim World,288,0-230-60754-3,Palgrave Macmillan
Loren L.,Coleman,Bloodlines: The Story of Urza's Destiny,343,978-0-7869-1380-0,Wizards of the Coast
Steve,Coll,Ghost Wars,720,1-59420-007-6,Penguin Group
Billy,Collins,The Art of Drowning,112,0822938936,University of Pittsburgh Press
Richard,Condon,Winter Kills,304,0-8037-8822-3,Doubleday (publisher)
Richard,Condon,The Vertical Smile,334,44009301125,Dial Press
Michael,Connelly,The Black Ice,336,0-316-15382-6,"Little, Brown and Company"
Michael,Connelly,The Last Coyote,400,0-316-15390-7,"Little, Brown and Company"
Michael,Connelly,Trunk Music (novel),383,0-316-15244-7,"Little, Brown and Company"
Michael,Connelly,The Narrows (Connelly novel),416,0-316-15530-6,"Little, Brown and Company"
Michael,Connelly,The Drop (Connelly novel),400,978-0316214551,"Little, Brown and Company"
Michael,Connelly,Chasing the Dime,320,"ISBN 0-7528-2141-5 (UK), (USA)",Orion Publishing Group
Michael,Connelly,The Black Box (novel),560,978-0316069434,"Little, Brown and Company"
Michael,Connelly,City of Bones (Connelly novel),464,0-316-15405-9,Grand Central Publishing
Michael,Connelly,Lost Light,368,0-316-15460-1,"Little, Brown and Company"
Michael,Connelly,Nine Dragons (novel),544,978-0316071048,"Little, Brown and Company"
Michael,Connelly,The Burning Room,400,978-0316225939,"Little, Brown and Company"
Jack,Conroy,The Disinherited,246,0-8262-0770-7,University of Missouri Press
Pat,Conroy,The Lords of Discipline,499,0-395-29462-2,Houghton Mifflin Harcourt
Pat,Conroy,Beach Music (novel),640,ISBN 0-385-41304-1 (hardback edition),Doubleday (publisher)
Pat,Conroy,The Prince of Tides (novel),576,0-395-35300-9,Houghton Mifflin Harcourt
Pat,Conroy,My Losing Season,416,0-385-48912-9,Doubleday (publisher)
Pat,Conroy,The Great Santini (novel),536,0-395-24297-5,Random House
Pat,Conroy,South of Broad,528,978-0-385-41305-3,Doubleday (publisher)
Monte,Cook,Ghostwalk,224,0-7869-2834-7,Wizards of the Coast
Barbara,Cooney,Miss Rumphius,32,ISBN 0-14-050539-3 (first edition),Viking Press
Caroline B.,Cooney,Forbidden (Cooney novel),320,0-590-55660-6,Scholastic Corporation
Dennis,Cooper,Frisk (novel),128,ISBN 0-8021-3289-8 (paperback edition),Grove Press
Robert,Coover,A Political Fable,88,978-0-670-56309-8,Viking Press
Bruce,Cordell,Expanded Psionics Handbook,224,0-7869-3301-3,Wizards of the Coast
Bruce,Cordell,City of Torment,320,978-0-7869-5184-0,Wizards of the Coast
Bruce,Cordell,Tome and Blood,96,0-7869-1845-4,Wizards of the Coast
Bruce,Cordell,Weapons of Legacy,224,0-7869-3688-6,Wizards of the Coast
Bruce,Cordell,Plague of Spells,320,978-0-7869-4965-6,Wizards of the Coast
Bruce,Cordell,Epic Level Handbook,320,0-7869-2658-9,Wizards of the Coast
Bruce,Cordell,Complete Psionic,160,0786939117,Wizards of the Coast
Bruce,Cordell,Libris Mortis,182,0-7869-3433-1,Wizards of the Coast
Bruce,Cordell,Enemies and Allies,64,0-7869-1852-2,Wizards of the Coast
Donald,Corley,The House of Lost Identity,325,NA,Robert M. McBride
Donald,Corley,The Haunted Jester,306,NA,Robert M. McBride
Donald,Corley,The Fifth Son of the Shoemaker,282,NA,Robert M. McBride
Patricia,Cornwell,Point of Origin (novel),416,0-399-14394-7,G. P. Putnam's Sons
Patricia,Cornwell,Body of Evidence (novel),256,0-6841-9240-3,Charles Scribner's Sons
Patricia,Cornwell,Cause of Death (novel),340,0-399-14146-4,G. P. Putnam's Sons
Patricia,Cornwell,Black Notice,415,0-399-14508-7,G. P. Putnam's Sons
Patricia,Cornwell,Cruel and Unusual (novel),384,0-684-19530-5,Charles Scribner's Sons
Patricia,Cornwell,From Potter's Field,416,0-684-19598-4,Charles Scribner's Sons
Patricia,Cornwell,The Body Farm (novel),320,0-684-19597-6,Charles Scribner's Sons
Patricia,Cornwell,The Last Precinct (novel),449,0-399-14625-3,G. P. Putnam's Sons
Patricia,Cornwell,Unnatural Exposure (novel),367,0-399-14285-1,G. P. Putnam's Sons
Patricia,Cornwell,The Bone Bed,463,"ISBN 978-1-4087-0344-1 (first edition, hardback)",G. P. Putnam's Sons
Patricia,Cornwell,Predator (novel),416,"ISBN 0-399-15283-0 (first edition, hardback)",G. P. Putnam's Sons
Patricia,Cornwell,All That Remains (novel),416,ISBN 978-0-7434-9153-2,Charles Scribner's Sons
Patricia,Cornwell,Trace (novel),448,"0-399-15219-9 (first edition, hardback)",G. P. Putnam's Sons
Patricia,Cornwell,Scarpetta (novel),512,"ISBN 0-399-15516-3 (first edition, hardback)",G. P. Putnam's Sons
Patricia,Cornwell,Hornet's Nest (novel),372,978-0-425-16098-5,G. P. Putnam's Sons
Mary Elizabeth,Counselman,Half in Shadow,212,0-87054-081-5,Arkham House
Bruce,Coville,Armageddon Summer,272,0-15-201767-4,Harcourt (publisher)
Bruce,Coville,"Jeremy Thatcher, Dragon Hatcher",176,978-0-15-206252-1,Harcourt (publisher)
Bruce,Coville,Goblins in the Castle,164,9780671727116,Pocket Books
Dan,Cragg,Blood Contact,344,0-345-42527-8,Del Rey Books
Dan,Cragg,Hangfire,346,0-345-43592-3,Del Rey Books
Dan,Cragg,Kingdom's Swords,368,0-345-44371-3,Del Rey Books
Dan,Cragg,TechnoKill,346,0-345-43591-5,Del Rey Books
Dan,Cragg,First to Fight (novel),378,978-0-345-43654-2,Del Rey Books
Robert,Crais,Indigo Slam,320,0-345-43564-8,Bantam Books
Robert,Crais,Sunset Express,352,0-345-45494-4,Bantam Books
Robert,Crais,The Watchman (novel),304,0-7432-8163-2,Bantam Books
Robert,Crais,The Last Detective (novel),352,0-345-45190-2,Bantam Books
Robert,Crais,The Forgotten Man (novel),368,0-345-45191-0,Bantam Books
Robert,Crais,Free Fall (Crais novel),304,0-553-56509-5,Bantam Books
Robert,Crais,The Monkey's Raincoat,237,0-553-27585-2,Bantam Books
Robert,Crais,L.A. Requiem,416,0-345-43447-1,Bantam Books
Robert,Crais,Lullaby Town,352,0-553-29951-4,Bantam Books
Robert,Crais,Stalking the Angel,288,0-553-28644-7,Bantam Books
Robert,Crais,Voodoo River,416,0-7868-8905-5,Bantam Books
Robert,Crais,Chasing Darkness,288,0-7432-8164-0,Bantam Books
Robert,Crais,The First Rule,411,978-0-425-23812-7,Bantam Books
Kathryn,Cramer,The Architecture of Fear,304,0-87795-921-8,Arbor House
Kathryn,Cramer,Year's Best SF 12,496,0-06-125208-5,HarperCollins
Kathryn,Cramer,The Ascent of Wonder: The Evolution of Hard SF,990,0-312-85509-5,Tor Books
Kathryn,Cramer,Year's Best SF 11,496,0-06-087341-8,HarperCollins
Kathryn,Cramer,Year's Best SF 7,498,0-06-106143-3,HarperCollins
Kathryn,Cramer,Year's Best SF 8,496,ISBN 0-06-106453-X,HarperCollins
Kathryn,Cramer,Year's Best SF 9,500,ISBN 0-06-057559-X,HarperCollins
Kathryn,Cramer,Year's Best SF 14,512,978-0-06-172174-8,HarperCollins
Kathryn,Cramer,Year's Best SF 13,512,0-06-125209-3,HarperCollins
Kathryn,Cramer,Year's Best SF 15,494,978-0-06-172175-5,HarperCollins
Margaret,Craven,I Heard the Owl Call My Name,159,0-440-34369-0,"Clarke, Irwin & Company"
William L.,Crawford,Behind the Evidence,228,NA,"Fantasy Publishing Company, Inc."
William L.,Crawford,Science and Sorcery,327,NA,"Fantasy Publishing Company, Inc."
William L.,Crawford,The Machine God Laughs,134,NA,"Fantasy Publishing Company, Inc."
William L.,Crawford,The Garden of Fear and Other Stories,79,NA,"Fantasy Publishing Company, Inc."
Sharon,Creech,Ruby Holler,310,0-06-027732-7,HarperCollins
John Michael,Crichton,Travels (book),377,0-394-56236-4,Alfred A. Knopf
John Michael,Crichton,Micro (novel),424,978-0-06-087302-8,HarperCollins
John Michael,Crichton,Drug of Choice,166,ISBN 0-451-04116-X,New American Library
John Michael,Crichton,Pirate Latitudes,313,978-0-06-192937-3,HarperCollins
John Michael,Crichton,Airframe (novel),352,ISBN 0-679-44648-6,Alfred A. Knopf
John Michael,Crichton,Congo (novel),348,0-394-51392-4,Alfred A. Knopf
John Michael,Crichton,Disclosure (novel),597,0-679-41945-4,Alfred A. Knopf
John Michael,Crichton,Eaters of the Dead,288,0-394-49400-8,Alfred A. Knopf
John Michael,Crichton,Next (novel),528,ISBN 0-06-087298-5,HarperCollins
John Michael,Crichton,Prey (novel),364,0-00-715379-1,HarperCollins
John Michael,Crichton,Rising Sun (novel),385,0-394-58942-4,Alfred A. Knopf
John Michael,Crichton,Sphere (novel),385,0-394-56110-4,Alfred A. Knopf
John Michael,Crichton,State of Fear,641,0-00-718159-0,HarperCollins
John Michael,Crichton,The Great Train Robbery (novel),266,0-394-49401-6,Alfred A. Knopf
John Michael,Crichton,The Terminal Man,247,0-394-44768-9,Alfred A. Knopf
John Michael,Crichton,Jurassic Park (novel),448,0-394-58816-9,Alfred A. Knopf
John Michael,Crichton,Five Patients,231,0-394-42508-1,Alfred A. Knopf
John Michael,Crichton,Electronic Life,209,0-394-53406-9,Alfred A. Knopf
John Michael,Crichton,Jasper Johns (book),248,0-8109-1161-2,Abrams Books
John Michael,Crichton,The Lost World (Crichton novel),430,0-679-41946-2,Alfred A. Knopf
John Michael,Crichton,Binary (novel),225,0-394-47987-4,Alfred A. Knopf
John Michael,Crichton,Dealing: or the Berkeley-to-Boston Forty-Brick Lost-Bag Blues,222,0-394-42168-X,Alfred A. Knopf
Doreen,Cronin,"Click, Clack, Splish, Splash",24,978-0-689-87716-2,Atheneum Books
Doreen,Cronin,Duck for President,40,0-689-86377-2,Simon & Schuster
Doreen,Cronin,Dooby Dooby Moo,40,978-0-689-84507-9,Atheneum Books
Doreen,Cronin,"Giggle, Giggle, Quack",32,0-689-84506-5,Simon & Schuster
Doreen,Cronin,"Click, Clack, Quackity-Quack",24,978-0-689-87715-5,Atheneum Books
Doreen,Cronin,"Click, Clack, Moo",32,978-0-689-83213-0,Simon & Schuster
John,Crowley,Love & Sleep,502,ISBN 1590200152,Bantam Books
John,Crowley,"Little, Big",538,0-553-01266-5,Bantam Books
John,Crowley,Engine Summer,182,0-385-12831-2,Doubleday (publisher)
John,Crowley,Dæmonomania,451,0-533-10004-1,Bantam Books
Jennifer,Crusie,Getting Rid of Bradley,248,9781551668659,Harlequin Enterprises
Chris,Crutcher,Whale Talk,220,0-440-22938-3,HarperCollins
Chris,Crutcher,Staying Fat for Sarah Byrnes,304,0-06-009489-3,HarperCollins
Chris,Crutcher,Ironman (novel),279,0-06-059840-9,HarperCollins
Chris,Crutcher,Athletic Shorts: Six Short Stories,208,0-06-050783-7,HarperCollins
Elaine,Cunningham,Dark Journey (novel),301,ISBN 0-345-42869-2,Del Rey Books
Michael,Cunningham,By Nightfall,256,978-0-374-29908-8,"Farrar, Straus and Giroux"
Michael,Cunningham,Specimen Days,308,0-374-29962-5,"Farrar, Straus and Giroux"
Michael,Cunningham,The Hours (novel),230,0-374-17289-7,"Farrar, Straus and Giroux"
Michael,Cunningham,A Home at the End of the World,344,ISBN 0-374-17250-1,"Farrar, Straus and Giroux"
Ron,Currie,Everything Matters!,305,ISBN 978-0-670-02092-8 (hardcover edition) & ISBN 978-0-14-311751-3 (paperback edition),Penguin Group
Christopher Paul,Curtis,The Mighty Miss Malone,320,ISBN 0385734913,Random House
Christopher Paul,Curtis,"Bud, Not Buddy",245,0-385-32306-9,Dell Publishing
Karen,Cushman,"Catherine, Called Birdy",169,978-03-9568186-2,Houghton Mifflin Harcourt
Karen,Cushman,The Midwife's Apprentice,122,ISBN 0-613-00185-0,Houghton Mifflin Harcourt
Kara,Dalkey,Steel Rose (novel),315,0-451-45639-4,Roc Books
Emily,Danforth,The Miseducation of Cameron Post,470,978-0-06-202056-7,HarperCollins
Mark Z.,Danielewski,Only Revolutions,360,0-375-42176-9,Pantheon Books
Mark Z.,Danielewski,The Whalestoe Letters,86,ISBN 0-375-71441-3 (paperback edition),Pantheon Books
Mark Z.,Danielewski,"The Familiar, Volume 1: One Rainy Day in May",880,978-0375714948,Pantheon Books
James,Dashner,The Kill Order,327,978-0-385-74288-7,Dell Publishing
James,Dashner,The Scorch Trials,368,978-0-385-73875-0,Dell Publishing
Lydia,Davis,Varieties of Disturbance,240,978-0-374-28173-1,"Farrar, Straus and Giroux"
Terry,Davis,If Rock & Roll Were a Machine,284,978-0-910055-86-4,Eastern Washington University Press
Terry,Davis,Vision Quest (novel),256,978-0-385-73274-1,Dell Publishing
Jessica,Day George,Princess of Glass,257,ISBN 978-1-59990-478-8,Bloomsbury Publishing
Jessica,Day George,Princess of the Midnight Ball,272,ISBN I-59990-322-9 (hardcover),Bloomsbury Publishing
Marguerite,De Angeli,The Door in the Wall,121,0440402832,Doubleday (publisher)
Catherine Crook,De Camp,Dark Valley Destiny,402,0-312-94074-2,James Frenkel
Catherine Crook,De Camp,Darwin and His Great Discovery,248,NA,Macmillan Publishers
Catherine Crook,De Camp,Conan the Barbarian (1982 novel),181,0-553-22544-8,Bantam Books
Catherine Crook,De Camp,Ancient Ruins and Archaeology,294,NA,Doubleday (publisher)
Catherine Crook,De Camp,Footprints on Sand,327,0-911682-25-2,Advent:Publishers
Catherine Crook,De Camp,"Spirits, Stars, and Spells",348,NA,Canaveral Press
Catherine Crook,De Camp,The Story of Science in America,282,NA,Charles Scribner's Sons
Catherine Crook,De Camp,The Day of the Dinosaur,319,N/A,Doubleday (publisher)
Catherine Crook,De Camp,The Stones of Nomuru,215,0-89865-678-8,The Donning Company
Catherine Crook,De Camp,The Swords of Zinjaban,309,0-671-72039-2,Baen Books
Catherine Crook,De Camp,The Incorporated Knight,191,0-932096-46-8,Phantasia Press
Catherine Crook,De Camp,The Pixilated Peeress,208,0-345-36732-4,Del Rey Books
L. Sprague,De Camp,Elephant (science book),179,NA,Jove Books
L. Sprague,De Camp,Conan (collection),221,NA,Lancer Books
L. Sprague,De Camp,Conan the Adventurer (collection),224,NA,Lancer Books
L. Sprague,De Camp,Engines (children's book),56,NA,Western Publishing
L. Sprague,De Camp,Lost Continents,362,NA,Gnome Press
L. Sprague,De Camp,Literary Swordsmen and Sorcerers,313,0-87054-076-9,Arkham House
L. Sprague,De Camp,Dark Valley Destiny,402,0-312-94074-2,James Frenkel
L. Sprague,De Camp,The Spell of Seven,192,NA,Jove Books
L. Sprague,De Camp,The Goblin Tower,253,NA,Jove Books
L. Sprague,De Camp,Darwin and His Great Discovery,248,NA,Macmillan Publishers
L. Sprague,De Camp,The Hostage of Zir,213,0-399-12097-1,Berkley Books
L. Sprague,De Camp,Aristotle and the Gun and Other Stories,240,ISBN 0-7862-4311-2,Gale (publisher)
L. Sprague,De Camp,Rubber Dinosaurs and Wooden Elephants,143,0-89370-354-0,Borgo Press
L. Sprague,De Camp,Phantoms and Fancies,107,NA,Jack L. Chalker
L. Sprague,De Camp,The Fringe of the Unknown,208,0-87975-217-3,Prometheus Books
L. Sprague,De Camp,The Honorable Barbarian,240,0-345-36091-5,Del Rey Books
L. Sprague,De Camp,The Heroic Age of American Invention,290,NA,Doubleday (publisher)
L. Sprague,De Camp,The Bronze God of Rhodes,406,NA,Doubleday (publisher)
L. Sprague,De Camp,The Dragon of the Ishtar Gate,429,NA,Doubleday (publisher)
L. Sprague,De Camp,The Golden Wind,288,NA,Doubleday (publisher)
L. Sprague,De Camp,Great Cities of the Ancient World,510,0-385-09187-7,Doubleday (publisher)
L. Sprague,De Camp,The Ancient Engineers,408,NA,Doubleday (publisher)
L. Sprague,De Camp,Energy and Power,54,NA,Western Publishing
L. Sprague,De Camp,Scribblings,95,NA,NESFA Press
L. Sprague,De Camp,Conan the Barbarian (1982 novel),181,0-553-22544-8,Bantam Books
L. Sprague,De Camp,Fantasy Twin,503,NA,"Fantasy Publishing Company, Inc."
L. Sprague,De Camp,The Treasure of Tranicos (collection),191,0-441-82245-2,Ace Books
L. Sprague,De Camp,The Arrows of Hercules,297,NA,Doubleday (publisher)
L. Sprague,De Camp,Man and Power,189,NA,Western Publishing
L. Sprague,De Camp,Solomon's Stone,224,NA,Avalon Books
L. Sprague,De Camp,The Fantastic Swordsmen,204,NA,Jove Books
L. Sprague,De Camp,The Tritonian Ring,224,NA,Hachette Book Group
L. Sprague,De Camp,The Fallible Fiend,143,0-345-29367-3,New American Library
L. Sprague,De Camp,Conan the Buccaneer,191,NA,Lancer Books
L. Sprague,De Camp,Lest Darkness Fall,379,NA,Henry Holt and Company
L. Sprague,De Camp,Swords and Sorcery,186,NA,Jove Books
L. Sprague,De Camp,The Flame Knife,157,0-441-11666-3,Ace Books
L. Sprague,De Camp,The Spell of Conan,244,0-441-11669-8,Ace Books
L. Sprague,De Camp,The Conan Chronicles,569,0-7474-0547-6,Sphere Books
L. Sprague,De Camp,Conan of Cimmeria,189,NA,Lancer Books
L. Sprague,De Camp,The Conan Grimoire,261,NA,Jack L. Chalker
L. Sprague,De Camp,The Conan Reader,148,NA,Jack L. Chalker
L. Sprague,De Camp,The Conan Swordbook,255,NA,Jack L. Chalker
L. Sprague,De Camp,The Enchanter Reborn,296,0-671-72134-8,Baen Books
L. Sprague,De Camp,The Exotic Enchanter,288,ISBN 0-671-87666-X,Baen Books
L. Sprague,De Camp,Ancient Ruins and Archaeology,294,NA,Doubleday (publisher)
L. Sprague,De Camp,Lovecraft: A Biography,480,0-385-00578-4,Doubleday (publisher)
L. Sprague,De Camp,Warlocks and Warriors,255,NA,G. P. Putnam's Sons
L. Sprague,De Camp,Footprints on Sand,327,0-911682-25-2,Advent:Publishers
L. Sprague,De Camp,"Spirits, Stars, and Spells",348,NA,Canaveral Press
L. Sprague,De Camp,Divide and Rule (collection),231,NA,Fantasy Press
L. Sprague,De Camp,The Story of Science in America,282,NA,Charles Scribner's Sons
L. Sprague,De Camp,The Day of the Dinosaur,319,N/A,Doubleday (publisher)
L. Sprague,De Camp,Lands Beyond,329,NA,Rinehart & Company
L. Sprague,De Camp,The Undesired Princess,248,NA,"Fantasy Publishing Company, Inc."
L. Sprague,De Camp,Conan and the Spider God,175,0-553-13837-5,Bantam Books
L. Sprague,De Camp,The Reluctant Shaman and Other Fantastic Tales,190,NA,Jove Books
L. Sprague,De Camp,The Conan Chronicles 2,250,0-7474-0690-1,Orbit Books
L. Sprague,De Camp,A Gun for Dinosaur and Other Imaginative Tales,359,NA,Doubleday (publisher)
L. Sprague,De Camp,The Reluctant King,533,NA (book club),Doubleday (publisher)
L. Sprague,De Camp,Conan the Swordsman,274,0-553-12018-2,Bantam Books
L. Sprague,De Camp,The Blade of Conan,310,0-441-11670-1,Ace Books
L. Sprague,De Camp,Sprague de Camp's New Anthology of Science Fiction,158,NA,Panther Books
L. Sprague,De Camp,Rivers of Time,258,ISBN 0-671-72195-X,Baen Books
L. Sprague,De Camp,The Best of L. Sprague de Camp,301,NA,Doubleday (publisher)
L. Sprague,De Camp,Conan the Avenger,192,NA,Lancer Books
L. Sprague,De Camp,Wall of Serpents,223,NA,Avalon Books
L. Sprague,De Camp,The Castle of Iron,224,NA,Gnome Press
L. Sprague,De Camp,The Great Monkey Trial,538,0-385-04625-1,Doubleday (publisher)
L. Sprague,De Camp,The Compleat Enchanter,341,N/A,Doubleday (publisher)
L. Sprague,De Camp,The Unbeheaded King,185,0-345-30773-9,Del Rey Books
L. Sprague,De Camp,Rogue Queen,222,NA,Doubleday (publisher)
L. Sprague,De Camp,The Stones of Nomuru,215,0-89865-678-8,The Donning Company
L. Sprague,De Camp,The Venom Trees of Sunga,211,0-345-37551-3,Del Rey Books
L. Sprague,De Camp,The Swords of Zinjaban,309,0-671-72039-2,Baen Books
L. Sprague,De Camp,The Great Fetish,177,0-385-13139-9,Doubleday (publisher)
L. Sprague,De Camp,The Mathematics of Magic: The Enchanter Stories of L. Sprague de Camp and Fletcher Pratt,512,1-886778-65-5,NESFA Press
L. Sprague,De Camp,The Clocks of Iraz,190,NA,Jove Books
L. Sprague,De Camp,Time and Chance: an Autobiography,444,1-880418-32-0,"Donald M. Grant, Publisher"
L. Sprague,De Camp,The Complete Compleat Enchanter,498,0-7474-0079-2,Sphere Books
L. Sprague,De Camp,The Glory That Was,223,NA,Avalon Books
L. Sprague,De Camp,Conan the Liberator,274,0-553-12706-3,Bantam Books
L. Sprague,De Camp,Tales of Conan,219,NA,Gnome Press
L. Sprague,De Camp,The Carnelian Cube,230,NA,Gnome Press
L. Sprague,De Camp,The Return of Conan,191,NA,Gnome Press
L. Sprague,De Camp,Science-Fiction Handbook,328,NA,Hermitage House
L. Sprague,De Camp,The Wheels of If and Other Science Fiction,222,NA,Shasta Publishers
L. Sprague,De Camp,Sagas of Conan,448,0-7653-1054-6,Tor Books
L. Sprague,De Camp,The Virgin & the Wheels,191,NA,Popular Library
L. Sprague,De Camp,Demons and Dinosaurs,72,NA,Arkham House
L. Sprague,De Camp,The Incorporated Knight,191,0-932096-46-8,Phantasia Press
L. Sprague,De Camp,The Purple Pterodactyls,228,0-932096-02-6,Phantasia Press
L. Sprague,De Camp,Heroes and Hobgoblins,158,ISBN 0-937986-33-X,"Donald M. Grant, Publisher"
L. Sprague,De Camp,The Virgin of Zesh & The Tower of Zanid,263,0-441-86495-3,Ace Books
L. Sprague,De Camp,Conan of Aquilonia,171,0-441-11682-5,Ace Books
L. Sprague,De Camp,Tales from Gavagan's Bar,228,NA,Gale (publisher)
L. Sprague,De Camp,The Continent Makers and Other Tales of the Viagens,272,NA,Gale (publisher)
L. Sprague,De Camp,The Tritonian Ring and Other Pusadian Tales,262,NA,Gale (publisher)
L. Sprague,De Camp,Genus Homo (novel),225,NA,Fantasy Press
L. Sprague,De Camp,Conan the Freebooter,223,NA,Lancer Books
L. Sprague,De Camp,Conan the Usurper,256,NA,Lancer Books
L. Sprague,De Camp,Conan the Wanderer,222,NA,Lancer Books
L. Sprague,De Camp,Conan of the Isles,189,NA,Lancer Books
L. Sprague,De Camp,Inventions and Their Management,733,NA,International Textbook Company
L. Sprague,De Camp,Land of Unreason,260,NA,Henry Holt and Company
L. Sprague,De Camp,The Ape-Man Within,266,ISBN 0-87975-951-8,Prometheus Books
L. Sprague,De Camp,The Pixilated Peeress,208,0-345-36732-4,Del Rey Books
L. Sprague,De Camp,The Incomplete Enchanter,326,NA,Henry Holt and Company
Don,DeLillo,Libra (novel),448,0-670-82317-1,Viking Press
Don,DeLillo,Falling Man (novel),256,1-4165-4602-2,Charles Scribner's Sons
Don,DeLillo,Players (DeLillo novel),212,0-394-41260-5,Alfred A. Knopf
Don,DeLillo,Amazons (novel),390,ISBN 0-03-055426-8,Holt McDougal
Don,DeLillo,The Names (novel),339,ISBN 0-394-52814-X,Alfred A. Knopf
Don,DeLillo,Great Jones Street (novel),265,0-395-15566-5,Houghton Mifflin Harcourt
Don,DeLillo,Running Dog (novel),246,0-394-50143-8,Alfred A. Knopf
Don,DeLillo,Underworld (DeLillo novel),827,ISBN 0-684-84269-6 (hardback first edition),Charles Scribner's Sons
Don,DeLillo,Mao II,256,0-670-83904-3,Charles Scribner's Sons
Don,DeLillo,Pafko at the Wall,96,0-7432-3000-0,Charles Scribner's Sons
Don,DeLillo,White Noise (novel),326,0-670-80373-1,Viking Press
Don,DeLillo,Americana (novel),388,ISBN 0-395-12094-2,Houghton Mifflin Harcourt
Don,DeLillo,Cosmopolis (novel),224,ISBN 0-7432-4424-9 (hardcover first edition),Charles Scribner's Sons
Don,DeLillo,End Zone,242,0-395-13645-8,Houghton Mifflin Harcourt
Don,DeLillo,The Body Artist,128,ISBN 0-7432-0395-X,Charles Scribner's Sons
Don,DeLillo,Point Omega,117,978-1-4391-6995-7,Charles Scribner's Sons
Don,DeLillo,Ratner's Star,438,ISBN 0-394-40083-6,Alfred A. Knopf
Keith R. A.,Decandido,Blackout (Buffy novel),256,1-4169-1917-1,Simon & Schuster
Nelson,Demille,Up Country,706,0-446-51657-0,Grand Central Publishing
Nelson,Demille,The Gate House,688,"ISBN 0-446-53342-4 (first edition, hardback)",Grand Central Publishing
Nelson,Demille,The Lion's Game,688,0-446-67909-7,Grand Central Publishing
Nelson,Demille,The Gold Coast (DeMille novel),500,0-446-51504-3,Grand Central Publishing
Gene,Deweese,Chain of Attack,251,"ISBN 0-671-66658-4 (first edition, paperback)",Pocket Books
Gene,Deweese,The Peacekeepers,310,ISBN 0-671-66929-X,Pocket Books
Gene,Deweese,The Final Nexus,282,"ISBN 0-671-66018-7 (first edition, paperback)",Pocket Books
Kate,DiCamillo,Because of Winn-Dixie,182,0-7636-0776-2,Candlewick Press
Kate,DiCamillo,The Tale of Despereaux,276,0-7636-1722-9,Candlewick Press
Kate,DiCamillo,The Magician's Elephant,208,978-0-7636-4410-9,Candlewick Press
Kate,DiCamillo,The Miraculous Journey of Edward Tulane,192,0-7636-2589-2,Candlewick Press
Philip K.,Dick,"Robots, Androids, and Mechanical Oddities",261,0-8093-1159-3,Southern Illinois University Press
Philip K.,Dick,Voices from the Street,301,0-7653-1692-7,Tor Books
Philip K.,Dick,The Broken Bubble,246,1-55710-012-8,Arbor House
Philip K.,Dick,The Father-Thing (collection),376,0-575-04616-3,Victor Gollancz Ltd
Philip K.,Dick,Humpty Dumpty in Oakland,199,0-575-03875-6,Victor Gollancz Ltd
Philip K.,Dick,The Exegesis of Philip K. Dick,944,978-0-547-54927-9,Houghton Mifflin Harcourt
Philip K.,Dick,"Dr. Bloodmoney, or How We Got Along After the Bomb",222,NA,Ace Books
Philip K.,Dick,The Cosmic Puppets,127,NA,Ace Books
Philip K.,Dick,The Variable Man (collection),255,NA,Ace Books
Philip K.,Dick,The Crack in Space,190,NA,Ace Books
Philip K.,Dick,Deus Irae,182,0-385-04527-1,Doubleday (publisher)
Philip K.,Dick,Eye in the Sky (novel),255,NA,Ace Books
Philip K.,Dick,Paycheck (collection),312,0-575-07001-3,Victor Gollancz Ltd
Philip K.,Dick,The Book of Philip K. Dick,187,NA,DAW Books
Philip K.,Dick,The Simulacra,192,NA,Ace Books
Philip K.,Dick,A Maze of Death,216,NA,Doubleday (publisher)
Philip K.,Dick,Vintage PKD,189,1-4000-9607-3,Vintage Books
Philip K.,Dick,A Scanner Darkly,220,ISBN 0-385-01613-1 (1st edition),Doubleday (publisher)
Philip K.,Dick,Radio Free Albemuth,214,ISBN 0-87795-762-2,Arbor House
Philip K.,Dick,Puttering About in a Small Land,291,0-89733-149-4,Academy Chicago Publishers
Philip K.,Dick,The Zap Gun,176,NA,Jove Books
Philip K.,Dick,The Man Who Japed,160,NA,Ace Books
Philip K.,Dick,Clans of the Alphane Moon,192,NA,Ace Books
Philip K.,Dick,Our Friends from Frolix 8,189,0-441-64401-5,Ace Books
Philip K.,Dick,The Game-Players of Titan,191,NA,Ace Books
Philip K.,Dick,The Unteleported Man,100,NA,Ace Books
